FIRETYPE,SEASON,FIRE_NO,NAME,START_DATE,STRTDATIT,TREAT_TYPE,FIREKEY,DSE_ID,CFA_ID,AREA_HA,latitude,longitude
BUSHFIRE,1939,999,,,19390101,FIRE,W193904999,,,27223.625,-37.92559869,142.0249093
BUSHFIRE,1939,999,,,19390101,FIRE,W193907999,,,10628.7611,-34.93810104,142.0871666
BUSHFIRE,1939,999,,,19390101,FIRE,W193908999,,,5640.1679,-37.80244881,144.0752017
BUSHFIRE,1939,999,,,19390101,FIRE,W193908999,,,931.9311,-37.70139659,143.601762
BUSHFIRE,1939,999,,,19390101,FIRE,W193908999,,,2047.6365,-37.5683639,143.9309126
BUSHFIRE,1939,999,,,19390101,FIRE,W193908999,,,6016.6268,-37.54605422,144.3443292
BUSHFIRE,1939,999,,,19390101,FIRE,W193909999,,,961.6059,-37.43480821,144.6219504
BUSHFIRE,1964,FC64/437,,,19640101,FIRE,W196406FC64/437,,,12.6367,-37.69232541,146.9043412
BUSHFIRE,1939,999,,,19390101,FIRE,W193911999,,,4928.2974,-37.72663013,148.7921534
BUSHFIRE,1939,999,,,19390101,FIRE,W193911999,,,288.4435,-37.6705673,148.6639259
BUSHFIRE,1939,999,,,19390101,FIRE,W193911999,,,481.8937,-37.63291215,148.6992108
BUSHFIRE,1939,999,,,19390101,FIRE,W193911999,,,1.1368,-37.57351637,149.0157661
BUSHFIRE,1939,999,,,19390101,FIRE,W193911999,,,4255.4084,-37.60385722,149.0032782
BUSHFIRE,1939,999,,,19390101,FIRE,W193911999,,,985.9021,-37.57858707,149.1001021
BUSHFIRE,1939,999,,,19390101,FIRE,W193911999,,,4526.782,-37.61923427,148.7550478
BUSHFIRE,1939,999,,,19390101,FIRE,W193911999,,,12129.6068,-37.63863029,148.5798315
BUSHFIRE,1939,999,,,19390101,FIRE,W193911999,,,893.4401,-37.47281439,148.6056888
BUSHFIRE,1939,999,,,19390101,FIRE,W193911999,,,2732.7756,-37.37943413,148.9578534
BUSHFIRE,1939,999,,,19390101,FIRE,W193911999,,,5664.1607,-37.29685898,149.1475815
BUSHFIRE,1942,999,,,19420101,FIRE,W194204999,,,305.7281,-38.05072874,141.4082297
BUSHFIRE,1942,999,,,19420101,FIRE,W194204999,,,213.6666,-38.01398237,141.3742884
BUSHFIRE,1963,999,,,19630101,FIRE,W196304999,,,263.3157,-37.7009985,141.4588754
BUSHFIRE,1939,999,,,19390101,FIRE,W193911999,,,13011.6084,-37.34684367,148.7061352
BUSHFIRE,1939,999,,,19390101,FIRE,W193911999,,,5742.2571,-37.18841019,148.6336707
BUSHFIRE,1939,999,,,19390101,FIRE,W193911999,,,5772.4843,-37.14633526,148.7695647
BUSHFIRE,1939,999,,,19390101,FIRE,W193911999,,,16645.77,-37.05075126,148.597316
BUSHFIRE,1939,999,,,19390101,FIRE,W193912999,,,8996.3141,-38.41444072,144.0475059
BUSHFIRE,1939,999,,,19390101,FIRE,W193917999,,,41061.8871,-37.29330113,142.5902741
BUSHFIRE,1939,999,,,19390101,FIRE,W193917999,,,17042.3863,-37.10741199,142.1250375
BUSHFIRE,1942,999,,,19420101,FIRE,W194204999,,,3032.6451,-37.97036582,141.5620727
BUSHFIRE,1964,FC64/437,,,19640101,FIRE,W196406FC64/437,,,53.1972,-37.64258074,146.8304861
BUSHFIRE,1939,999,,,19390101,FIRE,W193999999,,,12823.4066,-38.70260297,143.6722425
BUSHFIRE,1939,999,,,19390101,FIRE,W193999999,,,32952.0379,-38.41474881,146.5846428
BUSHFIRE,1939,999,,,19390101,FIRE,W193999999,,,220212.9064,-38.5406068,143.4863227
BUSHFIRE,1939,999,,,19390101,FIRE,W193999999,,,3433.2335,-38.30789633,144.9872044
BUSHFIRE,1939,999,,,19390101,FIRE,W193999999,,,35521.2685,-37.88295376,141.0659782
BUSHFIRE,1939,999,,,19390101,FIRE,W193999999,,,288243.4374,-38.08308125,141.5759849
BUSHFIRE,1939,999,,,19390101,FIRE,W193999999,,,8254.4523,-37.63849481,145.2817862
